"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 05 15:54:12 GMT 2024","Fri Jan 05 15:54:25 GMT 2024","13057","chromium","api_signUp.spec.ts","API Sign Up","","","Login user from API",""
"passed","Fri Jan 05 15:54:12 GMT 2024","Fri Jan 05 15:54:20 GMT 2024","7953","chromium","e2e_test.spec.ts","","","","Registration flow",""
"passed","Fri Jan 05 15:54:12 GMT 2024","Fri Jan 05 15:54:23 GMT 2024","11461","chromium","e2e_test.spec.ts","","","","e2e flow",""
"passed","Fri Jan 05 15:54:12 GMT 2024","Fri Jan 05 15:54:19 GMT 2024","7360","chromium","api_signUp.spec.ts","API Sign Up","","","Create User From API",""
